epoch,train_ppl,valid_ppl,test_ppl
1,385.3890,210.4623,
2,164.1589,123.4178,
3,121.7682,105.6768,
4,102.7799,95.3014,
5,92.5107,89.2090,
6,85.5177,83.6132,
7,80.0415,79.9581,
8,75.9357,77.1646,
9,73.2368,74.8915,
10,70.5935,75.3113,
11,63.3395,70.7754,
12,60.2896,69.5592,
13,58.8741,69.0410,
14,57.8683,68.5606,
15,56.8258,68.2362,
16,55.8079,68.0255,
17,55.3432,67.9168,
18,54.4700,67.3095,
19,53.9149,66.9345,
20,52.9891,66.5098,
21,52.6702,66.5356,
22,51.1790,66.3154,
23,50.4802,66.2039,
24,50.3336,66.0106,
25,50.1065,65.9678,
26,49.7804,65.9327,
27,49.5800,65.9084,
28,49.3681,65.6705,
29,49.2363,65.6905,
30,48.8817,65.7479,
31,49.2228,65.7263,
32,48.6382,65.7236,
33,48.9497,65.7223,
34,48.7176,65.7223,
35,48.6228,65.7222,
36,48.5895,65.7222,
37,49.0148,65.7221,
38,48.5874,65.7221,
39,49.1229,65.7221,
40,48.7651,65.7221,
test,,,53.0796
